# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-28 13:33:06 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14162500 MCKENZIE RIVER NEAR VIDA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14162500
#            TS   parameter     statistic     Description
#        172054       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        172055       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        172056       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        172057       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        172061       00010     00003     Temperature, water, degrees Celsius (Mean)
#        172062       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        172063       00060     00003     Discharge, cubic feet per second (Mean)
#        232261       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        232262       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        232263       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	172054_00010_00001	172054_00010_00001_cd	172055_00400_00001	172055_00400_00001_cd	172056_00400_00002	172056_00400_00002_cd	172057_00400_00008	172057_00400_00008_cd	172061_00010_00003	172061_00010_00003_cd	172062_00010_00002	172062_00010_00002_cd	172063_00060_00003	172063_00060_00003_cd	232261_00300_00001	232261_00300_00001_cd	232262_00300_00003	232262_00300_00003_cd	232263_00300_00002	232263_00300_00002_cd
USGS	14162500	2021-04-11	8.3	P	7.9	A	7.3	A	7.5	A	7.4	P	6.6	P	2930	P	12.4	A	11.8	A	11.1	A
USGS	14162500	2021-04-12	8.5	P	7.9	A	7.3	A	7.5	A	7.7	P	6.9	P	2880	P	12.3	A	11.6	A	11.0	A
USGS	14162500	2021-04-13	8.7	P	7.9	A	7.3	A	7.5	A	8.0	P	7.1	P	2860	P	12.2	A	11.6	A	11.0	A
USGS	14162500	2021-04-14	8.8	P	7.9	A	7.3	A	7.4	A	8.0	P	7.0	P	2790	P	12.3	A	11.6	A	11.0	A
USGS	14162500	2021-04-15	9.2	P	7.9	A	7.3	A	7.4	A	8.2	P	7.2	P	2790	P	12.2	A	11.5	A	10.8	A
USGS	14162500	2021-04-16	9.4	P	7.9	A	7.3	A	7.5	A	8.5	P	7.6	P	2800	P	12.1	A	11.4	A	10.7	A
USGS	14162500	2021-04-17	9.9	P	7.9	A	7.3	A	7.4	A	8.9	P	8.0	P	2830	P	12.0	A	11.3	A	10.6	A
USGS	14162500	2021-04-18	10.0	P	7.9	A	7.3	A	7.4	A	9.2	P	8.3	P	2990	P	11.9	A	11.2	A	10.5	A
USGS	14162500	2021-04-19	10.0	P	7.9	A	7.2	A	7.4	A	9.2	P	8.5	P	3160	P	11.9	A	11.2	A	10.6	A
USGS	14162500	2021-04-20	9.8	P	7.9	A	7.3	A	7.4	A	9.3	P	8.5	P	3170	P	11.8	A	11.2	A	10.7	A
USGS	14162500	2021-04-21	9.8	P	7.9	A	7.2	A	7.4	A	9.0	P	8.2	P	3140	P	11.9	A	11.3	A	10.6	A
USGS	14162500	2021-04-22	10.0	P	7.9	A	7.2	A	7.4	A	9.2	P	8.2	P	3140	P	11.8	A	11.2	A	10.6	A
USGS	14162500	2021-04-23	9.7	P	7.9	A	7.2	A	7.4	A	8.8	P	8.0	P	3120	P	11.9	A	11.3	A	10.8	A
USGS	14162500	2021-04-24	9.2	P	7.8	A	7.3	A	7.4	A	8.6	P	8.2	P	3120	P	11.7	A	11.3	A	10.9	A
USGS	14162500	2021-04-25	8.6	P	7.8	A	7.3	A	7.4	A	8.3	P	7.9	P	3190	P	11.7	A	11.3	A	11.0	A
USGS	14162500	2021-04-26	9.1	P	7.9	A	7.3	A	7.4	A	8.4	P	7.8	P	3220	P	11.8	A	11.3	A	10.9	A
USGS	14162500	2021-04-27	9.8	P	7.9	A	7.3	A	7.4	A	8.7	P	7.8	P	3050	P	11.9	A	11.3	A	10.6	A
USGS	14162500	2021-04-28	10.2	P	7.9	A	7.3	A	7.4	A	9.2	P	8.2	P	3000	P	11.9	A	11.2	A	10.5	A
USGS	14162500	2021-04-29	10.6	P	8.0	P:[4]	7.3	P:[4]	7.5	P:[4]	9.6	P	8.6	P	3170	P	11.7	P:[4]	11.0	P:[4]	10.5	P:[4]
USGS	14162500	2021-04-30	10.4	P	8.0	P	7.4	P	7.5	P	9.7	P	8.9	P	3340	P	11.7	P	11.1	P	10.5	P
USGS	14162500	2021-05-01	10.5	P	7.9	P	7.4	P	7.5	P	9.9	P	9.3	P	3690	P	11.5	P	11.0	P	10.7	P
USGS	14162500	2021-05-02	10.0	P	7.9	P	7.3	P	7.5	P	9.4	P	8.9	P	3740	P	11.8	P	11.3	P	10.9	P
USGS	14162500	2021-05-03	9.7	P	7.9	P	7.3	P	7.5	P	9.0	P	8.2	P	3500	P	11.9	P	11.3	P	10.7	P
USGS	14162500	2021-05-04	10.5	P	8.0	P	7.3	P	7.5	P	9.6	P	8.9	P	3470	P	11.7	P	11.1	P	10.5	P
USGS	14162500	2021-05-05	10.6	P	8.0	P	7.3	P	7.5	P	9.8	P	8.9	P	3500	P	11.7	P	11.1	P	10.4	P
USGS	14162500	2021-05-06	10.6	P	7.8	P	7.3	P	7.5	P	9.8	P	9.0	P	3630	P	11.6	P	11.1	P	10.6	P
USGS	14162500	2021-05-07	9.5	P	7.8	P	7.3	P	7.5	P	8.6	P	7.9	P	3620	P	11.8	P	11.4	P	10.9	P
USGS	14162500	2021-05-08	10.0	P	7.9	P	7.3	P	7.5	P	8.4	P	7.0	P	3430	P	12.0	P	11.5	P	11.1	P
USGS	14162500	2021-05-09	10.8	P	8.0	P	7.3	P	7.5	P	9.0	P	7.7	P	3160	P	11.8	P	11.3	P	10.8	P
USGS	14162500	2021-05-10	12.1	P	8.0	P	7.3	P	7.5	P	9.7	P	7.4	P	3060	P	11.8	P	11.1	P	10.4	P
USGS	14162500	2021-05-11	12.7	P	8.0	P	7.3	P	7.5	P	10.4	P	8.0	P	3100	P	11.6	P	10.9	P	10.2	P
USGS	14162500	2021-05-12	13.2	P	8.0	P	7.3	P	7.5	P	10.9	P	8.6	P	3110	P	11.4	P	10.8	P	10.2	P
USGS	14162500	2021-05-13	13.4	P	8.0	P	7.3	P	7.5	P	11.1	P	8.9	P	3160	P	11.4	P	10.8	P	10.1	P
USGS	14162500	2021-05-14	13.5	P	8.0	P	7.3	P	7.5	P	11.2	P	9.3	P	3210	P	11.3	P	10.7	P	10.2	P
USGS	14162500	2021-05-15	13.4	P	8.0	P	7.3	P	7.5	P	11.1	P	9.0	P	3210	P	11.4	P	10.7	P	10.1	P
USGS	14162500	2021-05-16	13.7	P	8.0	P	7.3	P	7.5	P	11.4	P	9.1	P	3170	P	11.3	P	10.6	P	10.0	P
USGS	14162500	2021-05-17	13.4	P	8.0	P	7.3	P	7.5	P	11.3	P	9.2	P	3170	P	11.3	P	10.7	P	10.2	P
USGS	14162500	2021-05-18	12.0	P	8.0	P	7.3	P	7.5	P	10.5	P	9.3	P	3150	P	11.4	P	10.9	P	10.3	P
USGS	14162500	2021-05-19	11.1	P	7.9	P	7.3	P	7.5	P	9.5	P	8.4	P	3020	P	11.5	P	11.1	P	10.6	P
USGS	14162500	2021-05-20	9.6	P	7.9	P	7.3	P	7.5	P	8.7	P	7.8	P	2990	P	11.7	P	11.3	P	11.0	P
USGS	14162500	2021-05-21	9.5	P	7.9	P	7.3	P	7.5	P	8.7	P	7.9	P	2950	P	11.7	P	11.3	P	10.9	P
USGS	14162500	2021-05-22	10.9	P	8.0	P	7.3	P	7.5	P	9.3	P	8.0	P	2850	P	11.7	P	11.2	P	10.7	P
USGS	14162500	2021-05-23	10.5	P	8.0	P	7.3	P	7.5	P	9.5	P	8.3	P	2780	P	11.6	P	11.1	P	10.7	P
USGS	14162500	2021-05-24	10.3	P	7.9	P	7.3	P	7.5	P	9.3	P	8.5	P	2790	P	11.6	P	11.2	P	10.7	P
USGS	14162500	2021-05-25	10.6	P	7.9	P	7.3	P	7.5	P	9.7	P	8.8	P	3200	P	11.5	P	11.1	P	10.7	P
USGS	14162500	2021-05-26	13.0	P	8.1	P:[4]	7.3	P:[4]	7.5	P:[4]	10.6	P	8.5	P	3160	P	11.6	P:[4]	10.9	P:[4]	10.2	P:[4]
USGS	14162500	2021-05-27	11.0	P	8.0	P	7.3	P	7.5	P	9.7	P	8.8	P	3110	P	11.7	P	11.2	P	10.4	P
USGS	14162500	2021-05-28	12.9	P	8.3	P	7.3	P	7.5	P	10.5	P	8.3	P	3050	P	11.8	P	11.1	P	10.3	P
USGS	14162500	2021-05-29	13.4	P	8.3	P	7.3	P	7.5	P	10.9	P	8.7	P	3290	P	11.6	P	10.9	P	10.2	P
USGS	14162500	2021-05-30	13.3	P	8.2	P	7.2	P	7.5	P	11.2	P	9.3	P	3520	P	11.5	P	10.8	P	10.2	P
USGS	14162500	2021-05-31	13.2	P	8.1	P	7.2	P	7.5	P	11.2	P	9.3	P	3780	P	11.5	P	10.9	P	10.3	P
USGS	14162500	2021-06-01	13.2	P	8.1	P	7.2	P	7.4	P	11.4	P	9.5	P	4300	P	11.3	P	10.8	P	10.3	P
USGS	14162500	2021-06-02	13.5	P	8.0	P	7.2	P	7.4	P	11.8	P	10.2	P	5040	P	11.2	P	10.6	P	10.2	P
USGS	14162500	2021-06-03	13.9	P	8.1	P	7.2	P	7.4	P	12.0	P	10.3	P	4590	P	11.2	P	10.6	P	10.0	P
USGS	14162500	2021-06-04	14.0	P	8.2	P	7.2	P	7.5	P	12.1	P	10.3	P	3630	P	11.2	P	10.6	P	10.0	P
USGS	14162500	2021-06-05	12.2	P	8.1	P	7.2	P	7.6	P	11.1	P	10.1	P	3080	P	11.3	P	10.8	P	10.2	P
USGS	14162500	2021-06-06	11.7	P	8.2	P	7.3	P	7.6	P	10.5	P	9.4	P	2690	P	11.5	P	10.9	P	10.4	P
USGS	14162500	2021-06-07	11.8	P	8.3	P	7.4	P	7.6	P	10.6	P	9.5	P	2570	P	11.5	P	10.9	P	10.4	P
USGS	14162500	2021-06-08	11.9	P	8.1	P	7.4	P	7.6	P	10.6	P	9.5	P	2530	P	11.4	P	10.9	P	10.4	P
USGS	14162500	2021-06-09	12.2	P	8.2	P	7.4	P	7.6	P	10.8	P	9.3	P	2520	P	11.5	P	10.9	P	10.5	P
USGS	14162500	2021-06-10	12.5	P	8.2	P	7.4	P	7.6	P	10.8	P	9.4	P	2480	P	11.5	P	10.9	P	10.2	P
USGS	14162500	2021-06-11	11.4	P	7.9	P	7.4	P	7.5	P	10.2	P	9.6	P	2480	P	11.4	P	10.9	P	10.3	P
USGS	14162500	2021-06-12	13.3	P	8.3	P	7.3	P	7.6	P	11.4	P	9.9	P	2720	P	11.3	P	10.7	P	10.0	P
USGS	14162500	2021-06-13	13.0	P	8.3	P	7.3	P	7.5	P	11.9	P	10.7	P	2630	P	11.2	P	10.5	P	10.0	P
USGS	14162500	2021-06-14	12.0	P	8.2	P	7.3	P	7.6	P	11.3	P	10.6	P	2720	P	11.3	P	10.7	P	10.1	P
USGS	14162500	2021-06-15	12.5	P	8.3	P	7.4	P	7.7	P	11.3	P	10.1	P	2680	P	11.4	P	10.9	P	10.3	P
USGS	14162500	2021-06-16	14.5	P	8.5	P	7.3	P	7.7	P	12.1	P	9.6	P	2570	P	11.5	P	10.7	P	9.8	P
USGS	14162500	2021-06-17	15.2	P	8.5	P	7.3	P	7.6	P	12.6	P	10.3	P	2700	P	11.4	P	10.6	P	9.9	P
USGS	14162500	2021-06-18	13.7	P	8.3	P	7.3	P	7.5	P	11.8	P	10.0	P	3680	P	11.4	P	10.8	P	10.2	P
USGS	14162500	2021-06-19	13.3	P	8.1	P	7.2	P	7.5	P	11.4	P	9.8	P	4630	P	11.4	P	10.8	P	10.3	P
USGS	14162500	2021-06-20	13.6	P	8.2	P	7.2	P	7.5	P	11.6	P	9.9	P	4580	P	11.4	P	10.8	P	10.2	P
USGS	14162500	2021-06-21	13.8	P	8.2	P	7.2	P	7.5	P	11.9	P	10.2	P	4550	P	11.3	P	10.7	P	10.1	P
USGS	14162500	2021-06-22	13.2	P	8.2	P	7.3	P	7.5	P	11.6	P	10.4	P	4550	P	11.3	P	10.7	P	10.2	P
USGS	14162500	2021-06-23	14.6	P	8.2	P	7.3	P	7.5	P	12.4	P	10.4	P	4610	P	11.1	P	10.6	P	10.0	P
USGS	14162500	2021-06-24	14.8	P	8.3	P	7.2	P	7.5	P	12.7	P	10.8	P	4440	P	11.1	P	10.5	P	10.0	P
USGS	14162500	2021-06-25	15.0	P	8.3	P	7.2	P	7.5	P	12.9	P	11.0	P	4380	P	11.1	P	10.5	P	9.9	P
USGS	14162500	2021-06-26	15.7	P	8.4	P	7.2	P	7.5	P	13.4	P	11.5	P	4330	P	11.0	P	10.3	P	9.7	P
USGS	14162500	2021-06-27	16.1	P	8.5	P	7.2	P	7.5	P	14.0	P	12.2	P	4290	P	10.8	P	10.2	P	9.5	P
USGS	14162500	2021-06-28	16.7	P	8.6	P	7.2	P	7.6	P	14.6	P	12.8	P	4060	P	10.7	P	10.0	P	9.4	P
USGS	14162500	2021-06-29	16.9	P	8.8	P	7.3	P	7.7	P	14.6	P	12.5	P	3340	P	10.9	P	10.1	P	9.3	P
USGS	14162500	2021-06-30	17.0	P	8.8	P	7.3	P	7.8	P	14.7	P	12.6	P	2820	P	11.0	P	10.1	P	9.3	P
USGS	14162500	2021-07-01	16.7	P	8.8	P	7.4	P	7.7	P	14.7	P	12.8	P	2470	P	11.0	P	10.1	P	9.3	P
USGS	14162500	2021-07-02	17.7	P	8.8	P	7.4	P	7.7	P	15.0	P	12.5	P	2250	P	11.0	P	10.0	P	9.1	P
USGS	14162500	2021-07-03	17.5	P	8.8	P	7.3	P	7.8	P	15.1	P	12.5	P	2170	P	11.0	P	10.0	P	9.1	P
USGS	14162500	2021-07-04	17.0	P	8.8	P	7.4	P	7.7	P	14.9	P	12.4	P	2140	P	11.0	P	10.0	P	9.2	P
USGS	14162500	2021-07-05	17.0	P	8.8	P	7.4	P	7.7	P	14.8	P	12.1	P	2140	P	11.1	P	10.1	P	9.1	P
USGS	14162500	2021-07-06	16.8	P	8.8	P	7.4	P	7.8	P	14.8	P	12.3	P	2160	P	11.0	P	10.1	P	9.2	P
USGS	14162500	2021-07-07	17.1	P	8.8	P	7.4	P	7.8	P	14.9	P	12.6	P	2100	P	11.0	P	10.0	P	9.1	P
USGS	14162500	2021-07-08	17.1	P	8.8	P	7.4	P	7.8	P	14.8	P	12.1	P	2070	P	11.0	P	10.1	P	9.2	P
USGS	14162500	2021-07-09	17.3	P	8.8	P	7.4	P	7.8	P	14.9	P	12.2	P	2030	P	11.0	P	10.0	P	9.1	P
USGS	14162500	2021-07-10	17.9	P	8.8	P	7.4	P	7.8	P	15.3	P	12.4	P	2010	P	11.0	P	10.0	P	9.0	P
USGS	14162500	2021-07-11	17.6	P	8.8	P	7.4	P	7.8	P	15.3	P	12.5	P	2020	P	11.0	P	10.0	P	9.0	P
USGS	14162500	2021-07-12	17.8	P	8.9	P	7.4	P	7.8	P	15.4	P	12.6	P	2030	P	11.0	P	10.0	P	9.0	P
USGS	14162500	2021-07-13	17.5	P	8.9	P	7.4	P	7.8	P	15.2	P	12.5	P	1990	P	11.0	P	10.0	P	9.0	P
USGS	14162500	2021-07-14	17.5	P	8.8	P:[4]	7.4	P:[4]	7.7	P:[4]	15.3	P	12.7	P	1970	P	10.9	P:[4]	9.8	P:[4]	9.1	P:[4]
USGS	14162500	2021-07-15	17.4	P	8.8	P	7.4	P	7.8	P	15.0	P	12.4	P	1970	P	11.0	P	10.0	P	9.1	P
USGS	14162500	2021-07-16	16.8	P	8.8	P:[4]	7.4	P:[4]	7.9	P:[4]	14.7	P	12.1	P	1960	P	11.1	P:[4]	10.1	P:[4]	9.2	P:[4]
USGS	14162500	2021-07-17	17.0	P	8.9	P	7.4	P	7.8	P	14.7	P	12.1	P	1960	P	11.1	P	10.1	P	9.2	P
USGS	14162500	2021-07-18	17.3	P	8.9	P	7.4	P	7.8	P	15.0	P	12.2	P	1950	P	11.1	P	10.1	P	9.1	P
USGS	14162500	2021-07-19	17.3	P	8.9	P	7.4	P	7.8	P	15.0	P	12.4	P	1940	P	11.1	P	10.0	P	9.2	P
USGS	14162500	2021-07-20	17.2	P	8.9	P	7.4	P	7.8	P	14.8	P	12.2	P	1940	P	11.1	P	10.1	P	9.2	P
USGS	14162500	2021-07-21	16.4	P	8.9	P:[4]	7.5	P:[4]	8.0	P:[4]	14.3	P	12.2	P	1940	P	11.2	P:[4]	10.3	P:[4]	9.3	P:[4]
USGS	14162500	2021-07-22	16.3	P	8.8	P:[4]	7.5	P:[4]			14.1	P	11.4	P	1930	P	11.0	P:[4]			9.4	P:[4]
USGS	14162500	2021-07-23	16.5	P	8.8	P	7.4	P	7.8	P	14.2	P	11.5	P	1920	P	11.3	P	10.3	P	9.3	P
USGS	14162500	2021-07-24	17.0	P	8.9	P	7.4	P	7.8	P	14.6	P	11.9	P	1900	P	11.2	P	10.1	P	9.2	P
USGS	14162500	2021-07-25	17.4	P	8.9	P	7.4	P	7.8	P	15.0	P	12.2	P	1890	P	11.1	P	10.0	P	9.1	P
USGS	14162500	2021-07-26	16.7	P	8.9	P	7.4	P	7.9	P	14.8	P	12.4	P	1880	P	11.1	P	10.1	P	9.2	P
USGS	14162500	2021-07-27	15.3	P	8.7	P	7.4	P	7.8	P	13.8	P	12.8	P	1840	P	11.0	P	10.2	P	9.3	P
USGS	14162500	2021-07-28	17.0	P	8.9	P	7.4	P	7.9	P	14.6	P	12.3	P	1840	P	11.1	P	10.2	P	9.2	P
USGS	14162500	2021-07-29	16.8	P	8.9	P	7.4	P	7.9	P	14.8	P	12.4	P	1820	P	11.0	P	10.1	P	9.2	P
USGS	14162500	2021-07-30	15.4	P	8.7	P	7.4	P	7.8	P	14.3	P	12.7	P	1830	P	10.9	P	10.1	P	9.3	P
USGS	14162500	2021-07-31	14.4	P	8.4	P	7.4	P	7.8	P	13.6	P	12.8	P	1830	P	10.9	P	10.2	P	9.5	P
USGS	14162500	2021-08-01	17.5	P	8.9	P	7.4	P	7.9	P	15.1	P	12.7	P	1830	P	11.0	P	10.0	P	9.0	P
USGS	14162500	2021-08-02	17.1	P	8.8	P	7.4	P	7.8	P	15.4	P	13.3	P	1820	P	10.9	P	9.9	P	9.1	P
